Category,Text
3,what does 'zig' refer to in the all your base clip? you all remember that all your base are belong to us internet phenomenon from early 2000.  i recently saw it again and read the game transcript.  what could the (poor) japanese-english translator possibly have been trying to communicate with the word zig?&#xd;&lt;br&gt;&lt;br&gt;cats: you have no chance to survive make your time.&#xd;&lt;br&gt;cats: ha ha ha ha ....&#xd;&lt;br&gt;captain: take off every 'zig' !!&#xd;&lt;br&gt;captain: you know what you doing.&#xd;&lt;br&gt;captain: move 'zig'.&#xd;&lt;br&gt;captain: for great justice.
6,are there any health benefits in currants?
2,how do i install the windows media player plug-in on my mac? i just bought a mac for the first time and have no idea how to install the windows media plug-in. i've downloaded it from microsoft.com and have the windows media.sitx file on my desktop. thanks for the help!
2,can you use ddr sdram memory in a machine originally using sdram dimms? have an old compaq desktop using sdram pc133 dimms &#xd;&lt;br&gt;with  pc3200 ddr 400mhz memory being so cheap wondering if this can be used to expand that box?
5,what is the name of the second us astronaut to land on the moon?
5,which singer has the largest number of records
1,how many cds has aol sent out
7,can water be hotter then 100 celsius degrees?
7,why do men have nipples?
1,what is the best carseat to purchase?
1,what's a good home based business?
2,what is a tag
3,who is the world's highest paid actress?
5,can you recommend a good preschool with childcare around new york?
3,on the song across the universe of the beatles
3,how long has people magazine been published?
6,does echinacea really help prevent colds? or is a waste of money...
7,what is the biggest number  in the world?
3,how did calvin and hobbes meet?
3,what is the best place to get guitar lessons in the south bay area? looking for a great instructor and relatively affordable price. i have no experience but have a desire to learn.
7,what is the only state in the us whose governor has no veto power?
5,where can i find information about superlatives? i need to find answers to questions such as what is the biggest...? what's the tallest...? what is the fastest...?
5,is there enough emphasis on gang prevention in the middle schools?
3,who was the first model to ever appear on the cover of sports illustrated?
3,who does the voice for henry the octopus on the wiggles? the voice -- not who is in the costume.  thx!  /d
3,what does 4 8 15 16 23 42 _really_ mean? what do you think it means? i know its showing up alot on the tv show lost
3,why was the passion of christ a controversial movie?
1,what's the cheapest place to live in the south bay?
2,what is the cheapest pc deal around? i am looking for a basic desktop (nothing fancy) for my 7 year old. unfortunately
4,is having similar culture important to make a relationship work?
3,what town did the flintstones live in?
1,should us computer programmers be worried about outsourcing trend to india and other countries?
7,if light travels faster than sound
2,what should i look for when buying a laptop? what is the best brand and what's reliable?
3,who was the one that took paris hilton's adult video?
5,where do babies come from? that's it. where do babies come from?
3,can you name 10 famous belgians? smurfs don't count
2,how many websites are on the internet?
2,how can i make money off my blog?
7,what is the arizona river that flows into the colorado?
3,can you name ten asian-american female celebrities?
2,what is programming?
3,what is the oldest magazine that is still in circulation?
7,what does laser stand for?
6,is there another cure for headaches besides taking pain killers?
2,what is the max file size on unix?
5,would it seriously affect my chances of getting into college if i don't have a high sat score?
1,does anyone have a recommendation for a good cpa who charges reasonable fees in indianapolis?
7,how many u.s. states are named after kings or queens?
5,should cell phones and pdas be allowed in school? why or why not?
1,how do you bring up the salary subject during an interview if the interviewer didn't bring it up?
2,i need to get a wireless card for my laptop. are all cards compatible with all laptops? which one is best?
4,why do women mean yes when they say no
7,why do human have five fingers and five toes?
3,who had the shortest celebrity marriage? nikki hilton's and renee zellwegger's super-short marriages this year got me thinking-- which celebrity had the shortest marriage of all time?
4,what's a good age to get married?
2,how do you find the web site traffic (number of page views) for a particular web site?
3,what does archie call his car?
1,how can i stop getting junk mail? i'm sick of all the pre-approved credit card solicitations
3,what happened to phoebe cates?  where is she now?
5,why do men wear neckties?
2,is there a way in ms excel to have a cell be equal to multiple cells? e.g.= d3 and d5
4,can you give me tips on how to get over an ex?
3,which tv show got higher ratings? who shot j.r.? on dallas or the finale of m*a*s*h?
3,who played will's dad on will and grace?
7,how many countries and territories are there in the world?
7,how far is it to the moon?
2,what is the best lcd monitor 19-25? don't want to go overboard on budget or features. just want something better than a 17 monitor to work and play with.&#xa;&#xa;more interested in quality
1,where's a good place to buy a skirt for beneath the christmas tree? walgreen's had two ugly ones to choose from. any place have a better selection of skirts to lay down beneath the christmas tree?
2,what does rss means ?
4,should i return or keep the engagement ring to my ex-fiance?
5,what is the difference between a bachelors and a masters degree?
3,who was the first female model featured on gq magazine?
3,what was the #1 single on july 7
4,would it make me a bad friend if i don't lend my friend money when she needs it?
4,is closure really important? my boyfriend and i had a petty argument.  he never called me after that day.  do i need to get closure from him?
5,how can teachers
5,how many words with 10 letters are there in the us dictionary?
3,what is tia carrere's nationality?
3,what is emo?
1,what should i have in my disaster emergency kit stored out side my house? since fima is estimating that the next big disaster will be a more then 7.0 earthquake in ca.&#xd;&lt;br&gt;&lt;br&gt;just a reminder that on aug 2001 they have predicted 3 disaster scenarios: &#xd;&lt;br&gt;first: terror attack on nyc&#xd;&lt;br&gt;second: a 5.0 category hurricane in new orleans&#xd;&lt;br&gt;third: a more then 7.0 earthquake in california&#xd;&lt;br&gt;&lt;br&gt;we are down to the third one……
5,which part-time mba program will add value to a software developer with 15 years experience?
3,why is lost so popular? i'm watching the first season. on the 3rd disc now
5,whose quote is  don't stay in bed
7,are humans still evolving? seems the vast majority of humans live long enough to procreate.  is natural selection dead (or sleepy)?  if not
2,what is a double layer dvd burner?
2,why does amazon try to patent everything? first it's the one-click stuff
1,anyone have a recommendation for an investment brokerage in seattle?
1,where does the sidewalk end?
6,what is the best way to start smoking again? i have not been smoking for six months now
4,is it okay to go to a guy's place on the first date?
3,when is the next season of 24?
6,why does a person's allergies change over time? as a child a person might not be allergic to cherries and then as an adult they become allergic
3,is batman stronger then spiderman?
4,where is a good place to meet a guy i met on the internet?
3,what was the name of the jetsons' robot maid?
3,what magazine did demi moore sit for a pregnancy photo shoot?
4,how do house chores get divided in your family?
5,what does the q in q-tip stand for?
2,what is visual basic?
5,where can i find help about a war?
3,sopranos or the wire: if you had to choose one? i'm convinced these are the two best dramas in the history of television. if you had to choose one
2,where can i get antivirus software if i don't have it installed?
3,what was the first episode of the simpson's about?
3,could u tell me what are me where i can find cool smoking bar in san francisco.? if u have many ideas maybe u can also rate them
5,what is your favorite quotation by a famous author?
4,do rebound relationships work?
5,what does buck naked mean?
4,what can i do besides divorce if i don't love my spouse anymore?
1,how many answers does a typical q&amp;a question get?
1,can someone *simply* explain what a stock short is?
7,which came first
2,how do i find out how much ram my computer has?
3,what reality show had appearances by has-been actors such as v ice
6,how to get rid of stretch marks after pregnancy?
3,why do people love oprah?
2,can i view everything on the internet via the wireless network?
6,why do non-vegetarians get so defensive at the mere mention that one is a vegetarian?
7,what are the odds of life on another planet?
1,credit cards- how can you get a credit card if you don't have a credit history?
4,what is your opinion on online dating?
6,if your co-worker has a white head thats ready to pop should you be able to go over there and pop it for him?
5,what do you call the 4-stringed hawaiian instrument which looks like a little guitar?
4,what would cause you to not want to keep your friend anymore?
3,is there a music site that is equivalent to imdb?
7,which came first
2,what will be the web 3.0 trend? web 1.0 was about doing anything on the web.&#xa;web 2.0 is about community.&#xa;what will 3.0 be?
6,why do women get pms?
7,who sailed from spain around the tip of s. america &amp; across the pacific ocean to the phils.?
3,when was archie comics published?
4,is there such a thing as a soulmate? or is it all new age hocus pocus?
6,if your co-worker is guilty of unsanitary hygiene would it be right to tell him/her?
3,can i give a gift membership to yahoo! music unlimited?
3,who killed laura palmer? in twin peaks series...
5,how can we make teaching more attractive to young people?
2,should both computers use the same os to share my dsl?
1,should i rent or buy? i live in an area with very high real estate prices. i can afford to buy
1,how many zip codes in the us ?
3,best music podcasts? what are the best podcasts to introduce me to new (alternative
2,what is the best podcast to subscribe to?
6,what can you say to someone on their deathbed to help put their mind at ease?
7,why is the sky blue?
4,how do i end a date with a girl i'm not interested in? i went on a date with a girl i met online but there's no chemistry between us.
3,who is helena in the song helena by my chemical romance?
2,how can i tell if my software includes spyware or adware?
3,when was the first issue of mad magazine published?
5,can someone give me three good colleges in philadelphia?
5,what are ivy leagues and do they provide a better education?
1,what is the best checking account balancing interest and service?
4,what are some factors that unite your family?
7,if you were on the world's biggest island
7,how many mountains in the world are 8.000 m (26k feet) or more?
3,what is the difference between adult aletrnative and alternative rock?
4,what does being loyal to a friend mean?
1,if i sold a house at a loss after owning it for less than two years
5,what sea creature sleeps with one eye open?
3,what was green day's first official band name?
4,do women expect a kiss on the first date?
5,what should you do when you apply to a university and you get put on a waiting list?
6,what is noni juice?
2,what's the best prog. language to learn? what's the easiest to get into?
3,how do you get onto the show curb appeal? looks like this hgtv show is always in the bay area? how can we get our house onto this show?
6,what's the hacker's diet? has anyone tried it?
7,if a plane was on some type of treadmill that detects speed
6,what are the best products for wet shaving?
2,what's the difference between online chat and instant messaging?
1,what is the average cost of an engineer in india comparing to the us?
1,how much does ebay charge for selling stuff? what percentage? how much is transaction fee?
5,how do i convert metric to u.s units?
4,what does blood is thicker than water mean?
3,what was the first women's magazine and when was it published?
3,what is the character's first and last name of the professor from gilligan's island?
2,what is a good platform for writing complex web apps in php? looking for a platform for handling business objects as well as application flow so people would not have to hard code each page transition and each business logic step in php.&#xa;&#xa;what do people recommend?
3,what is axel rose up to now?
2,what is the difference between burning and ripping?
5,can you recommend a good community college in kansas?
4,how do you deal with a future mother-in-law who doesn't approve of you?
4,what is a legal separation?
6,why hasn't anyone found a cure for the common cold yet? it must be a conspiracy from the big drugs companies.
3,c-tech astronomy? what do you know about c-tech astronomy?
5,what color do you paint the town when you go partying around the it?
2,has anyone experienced a cable modem stopping to work all of a sudden? i use comcast in the bay area
3,why did the 80's rock group husker dü breakup?
4,do love relationships with co-workers work?
5,what majors are the most popular?
7,why is the earth round?
3,why the pronouciation for mother is almost the same in many languages?
2,if i see a question which has been resolved
3,can you name a song that's been remade many times?
5,what ncaa sport does not have a playoff system?
1,how do i roll my 401(k) over to a traditional ira? i have a retirement plan with my former employer and i want to roll it over to a traditional ira.  what are my other options?
1,what's a good resource for understanding the tax implications of buying/selling stock? if i have a modest number of trades in the year
3,which magazine considered designating osama bin laden as their man of the year for 2001?
7,what animal species are monogamous?
6,which is better for back pain-- ice or heat?
2,where can i buy a copy of hypercard 2.4 for mac?
7,what is the other nickname of georgia besides peach state?
1,why some companies have survived for more then 50 years while others have failed only after 5?   why is that ?
3,who was the producer on madona's new album
3,how old is madonna? she looks young
3,what is the title of the song in the movie garden state that natalie portman was listening to?
3,who was the voice of marge simpson?
3,where did calvin and hobbes get their names?
1,why are we here?
2,which is better a linux operating system over a windows operating system?
4,do you only consider a friend a person that is nice to you?
3,what is the size of paris hilton's feet?
5,can someone give me a good site where i can research about earthquakes?
1,how does this site make money? i guess advertisements will be added eventually when it has certain traffic.
4,what does it mean to be a good friend?
4,how can you cause a toddler to do something that they don't want to do?
4,what is a family?
6,is it true that if you're near-sighted
4,how long does it take to process a divorce?
3,if you had your choice
4,what's the best age gap between siblings?
5,when you're in someone's disfavor
5,what is the world's largest island?
5,who said all paid jobs absorb and degrade the mind?
3,do i need special software to watch european region dvds on my computer?
3,what's the best sirius satellite radio to get? the majority of the listening would be in the car (howard stern!)
2,what is a good graphical editor for novices using max os x?
2,which internet browser i should use? what is the best one?
3,what's the name of paris hilton's pet dog?
4,what should i do for a ten year first date anniversary with my wife? it seems it should be different than a wedding anniversary.
4,what is the purpose of marriage?
5,how much wood could a wood chuck chuck if a wood chuck could chuck wood?
3,who wrote the song happy birthday?
2,what is ethernet?
2,why do videos run slow on my computer?
3,where can i buy a 1959 gibson les paul guitar? i would like to purchase a 1959 gibson les paul.  i know that they are expensive but i would like to at least get a quote on one.
4,what's the best
4,how can i break up with my boyfriend when i still love him but he doesn't  satisfy me in bed? i love my boyfriend but i'm tired of pretending that we are sexually compatible.
3,is the song
5,which came first
5,what's a good site for somone who needs help with understanding statistics in the context of business?
2,for $1000 or less
7,how come our eyes are located in the front and not on the side of the head?
2,what is sap?
5,who said i will honor christmas in my heart
7,do animals have a sense of humour? as an example
2,how is yahoo q&amp;a different than ask yahoo!?
3,where is the best place to park when going to a san jose sharks game?
3,was courtney love responsible for kurt cobain's death? i've heard rumors...
1,can anyone recommend a reliable and cost effective person to do our personal trust and will?
5,how do you feel about sex education for 4th and 5th graders? is it too soon?
7,why does polar bear's fur turn green?
1,was santla claus always red
7,what is the fibbonacci sequence? how has the fibbonacci sequence been used by sculptors
7,what is the capital city of jamaica?
7,how come when ever you did a hole there is never enough dirt to fill it back in?
1,how about a index or table of contants of all on the web? too convienent??
3,another riddle? you throw away the outside and cook the inside. then you eat the outside and throw away the inside. what is it?
1,want to see gross things?
7,what are dewatering type polyelectrolytes. the theory please.?
1,who has the best rates for liquid cd or money maket? have 28k would like to keep fairly liquid
6,what is the best disposable razor?
4,am i the only  lonely person searching for a fun relationship?
5,what books to read and how to study for usmle part2 medical licensing exam in usa? i'm trying to start studying to get the usmle and plan to start with step 2. there's a wealth of books out there and it is hard to choose from. also people don't agree on the best method to study for this exam or the resources to use. i'm interesed in the opinion of people who have done this test to share their insight on how to prepare for this test. thank you in advance
3,who is eddie van halen?
3,which james bond movie did you like the best? dr. no &#xa;from russia with love &#xa;goldfinger &#xa;thunderball &#xa;you only live twice &#xa;on her majesty's secret service &#xa;diamonds are forever &#xa;live and let die &#xa;the man with the golden gun &#xa;the spy who loved me &#xa;moonraker &#xa;for your eyes only &#xa;octopussy &#xa;a view to a kill &#xa;the living daylights &#xa;licence to kill &#xa;goldeneye &#xa;tomorrow never dies &#xa;the world is not enough &#xa;die another day &#xa;casino royale (2006)
2,how much does the program photoshop cost ( the newest version)?
2,if i have 2 pc's that have a wireless connection how do i get both pcs 2 share information and share a printer the pcs are wireless not connected 2 each other
1,will california ever fall in the ocean?
6,how do you use dental floss? i find it difficult to use them as they often slip out from between the teeth. but my teeth are yellowing on the edges near the gum and on the sides. this does not go away even if i brush and mouth-wash twice a day.
2,i want to make my pc email server how?? i have a dns name and i want to send and recieve email from my pc?how in details
1,how can i let this guy know that i like him and want to spend time with him w/o getting to close to fast?
1,am i the only person who really
5,what is that
3,how do you circumsize a redneck? it is the funniest joke i've ever heard
1,i am very bored. what should i do?
3,beyonce
3,what time will the new year 2006 will be celeberated and where it will be first celeberated?
6,is there an allergy medication specifically for dog dander that's better than others?
7,why did the u.s. stop sending people to the moon? did we just lose interest or did we find all we needed to find there.
4,i am looking for people in guatemala city?
1,who is jeff palmer? the name sounds familiar...
1,what do you think of the u.s.'s economy?
1,whats the difference between gas operated and blowback operated guns??
2,when i can download yahoo beta mail ?
6,my arm is numb due to nurve damage in my neck
2,what is the best hard disk defragmenter?
2,using css
1,i need a cv. in english? i want a curricullum vitae
1,need to find reserch about work ethics?
1,is madison who's who a scam? i got an invitation to join through an email today?
4,im a guy and im bisexual!...how can i tell this to a close friend about this and to not make him/her mad? also i like a guy in my class how do i tell him?
1,how long do u to wait in between popping knuckles?
6,how can i treat a burn? i was helpin my mom cook and got burned
1,in messenger
7,why do clouds turn dark when its about to rain?
6,why old people always are complaining ? like my grandma for example: i dont like this ice cream is not tasty when the ice cream was really good.
5,what is inferred reality and class inclusion?
7,what is the answer to: p=2l + 2w for w ?
1,how much wood would a woodchuck chuck if a woodchuck could chuck wood?
3,what do you think of arrested development?
5,does a baby breath water inside the mothers womb? what is the umbilical cord used for when a baby is inside the womb
5,is yahoo or google a better resource for research? what is another good resource for academic research? thanks.
6,does the va pay for dental work?
5,traffic question: can you change lanes across a double yellow line? can you change lanes across a double parallel yellow line? i know that you cannot cross through 2 sets of double yellow lines where each set is separated by about a width of a car
7,if i go 10 miles north
6,does labour become more difficult if i've gained 20 pounds by the end of my 7th month already? plus i wanna know what contractions really feel like...i've started my 8th month and wanna know how they feel cuz i still have no idea
1,what is the main strip in cancun? the best street with hotels
3,how many american pie movies (versions) have been produced? as in american pie 2
1,what does a 4'x8'- 1/2 sheet of drywall weigh...one sheet
3,who is your favorite aqua teen hunger force character?
2,how can i connect the front and rear audio ports on my motherboard so i can use both? i have an abit mobo that has a 10 pin connector on it.  to use the rear audio ports there needs to be two jumpers on pins 5-6 and 9-10.  if i want to use the front ports
2,why do users in yahoo! 360 have almost no friends? the majority of yahoo 360 users have zero friend.
2,what is the best search engine other than google.com?
6,since when are ren &amp; stimpy a gay couple? are beavis and butthead the same way? the three stoogers?
2,what is 'answers.yahoo.com'?
4,if your boyfriend has a confederate flag in his bedroom
4,what to say to 4 needy girls..? hi
1,a farmer had 15 sheep
6,what meds are best for arm surgery? this is the 2nd surgery
1,what  race was is jesus when he walked on earth?
4,what does it really mean to love somebody? how do you know if it's truly love what you feel for them?
1,how do i become rich?
7,how many stars are there?
3,what is the best way to sell lyrics? e.g websites
4,what should you do if you still like your ex but he has a girlfriend!!? she tells him bad things about me thats not true
7,what is the best fluid mechanics book in chemical engineering for a bachelor student?
2,how is the riaa catching individuals downloading pirated music? how are they getting these people they are suing?  are they tracking ips
3,in song backstreets bruce springsteen says ... with the last of duke streets kings what does he mean? slow dancing in the dark on the beach at stockton’s wing&#xa;where desperate lovers park we sat with the last of the duke street kings&#xa;huddled in our cars waiting for the bells that ring&#xa;in the deep heart of the night to set us loose from everything&#xa;to go running on the backstreets
6,does a root canal treatment pose a potential health threat? i've heard conflicting opinions. what is your personal experience?
4,how do i plan a wedding?
2,what's the difference between windows and linux systems?
6,do you or anyone you know have tourette syndrome?
3,how much would you pay? for a starwars 1996 action figure in the case? princess leia
2,what is the best place
5,who invented sudoku?
1,capital of finland?
2,how i eraise the old words in my search bar?
4,what should i do? try it or break up forever? been with the father of my one year old son and i'm pregnant with my second. at this moment we don't have anything that we share(just the kids) we been together for 6 years now..but for the past 3 months all we do is fight
1,when do you know you are in love?
1,what is a redneck? i've heard people say that some southerners are rednecks.
6,i feel very over weight but everyone tells me i'm not...? i'm 5'1 and 100lbs even. i don't know how to learn my mind to see that i'm not overweigh. when i look in the mirror i feel huge!!! for last week or so i have almost stopped eatting totaly because of this. i know deep down that i'm not fat but still it's what i see when i look in the mirror. i'm not sure how to get that thought of my head.
1,how do i transfer money from a trust bank in the united states to a bank in the ukraine?
6,why do babies have to come out head first?
2,what is the amperage and watts of a toshiba laptop satellite computer bought in 2004
3,where can i listen to free baltimore club music?
1,is count dracula sexy or scary to you? do you want to see him?
6,what is the best way to quit smoking? nrt or hypnosis?
1,why burges are green?
2,what is rss?
6,help!!! how long does alcohol stay in your system ? urine test.?
1,why do some people feel it's rude to not cover your mouth while yawning? i mean all a yawn is
6,any help for aging thin cancerous skin that's sensitive to almost everything? he's a white thin-skinned 83-yr-old man who's skin is now sensitive to sun
4,what is a good conversation starter to ask a girls out?
2,what's the main difference between windows and linex?
1,i'm having nightmares about burger king (person
1,what is customer behaviour? is customer behaviour a pavlovisn reflex or personal choice?
7,where can i get help to learn basic math skills?
2,new computer tells me i have no email messages when i know i do.  conniecada@windermerecolville.com?
4,what is love..describe in an interesting way for me 
1,what is the deepest sea in the world? what is the deepest ocean in the world and how deep is it?
3,how old is juicy j from the  rap group  three 6 mafia?
1,me and my boyfriend have been going out for a week. will we last?
3,where can i get free music downloads?
2,how do you view things set as export in linux? messing with apache setup
1,what does it mean if 2 college girls
5,how do you get a teaching certificate after a ba? i will have a bachelor's degree in mathematics and i want to be qualified to teach elementary education. i need to know what options are out there for me and what hoops i need to jump through
6,my father 's been recently diagnosed with diabetis. which are the best 'home sugar meters' available?pressure? basically looking for known
1,where can i learn more about compensation plans for salespeople? (combinations of bonus
1,who was the first person to look at a cow and say
4,where can i fined a russian girls for marriage?
3,a tricky riddle? i guarantee
6,what does tegretol and crank do to a person with hepatitic c in their late fifties?
1,why are the weekly magazines released almost a week earlier than their scheduled release date?
1,why is a longshoreman called a longshoreman?
1,what's environment?
2,do you know of a free or inexpensive photo capture program? i need a photo capture program that will allow me to capture any photo i want off the web. i know how to right click and save photos but not all photos can be captured/saved this way.
2,what is the best free c/c++ ide for solaris excluding vi and emacs?
7,is dna the real map from where we come from and where we go to????
1,which company owns kraft foods? i heard it was a non-foods company
1,why am i being blocked from going to 123greetings.com every time i have always been able to go there?
5,what is the capital of mongolia?
2,is it now safe to assume that pdfs on sites can be accessed by assistive technology users?
1,if an airplane crashes on the border between canada and the united states where do you bury the survivors?
3,looking for 1970's group called war? did they record a song titled war. how can i finf it.
1,should i rent or buy a home in or around the denver area? for that area is it smarter to rent
3,when will undertaker of wwe ..........will really die??
1,how can i get very rich quickly and easily? 29 year old father of three who lives paycheck to paycheck in oklahoma.
4,been with my girlfriend for a year.  how long should we be together before we talk about marriage? i love her alot.  hope to get married to her some day.  the topic has never really come up though.
6,what education is needed to be a psychiatrist?
2,does anyone know if bt yahoo! broadband are going to be upgrading it's users to 10mbps as ntl have just done?
1,if my credit is bad how do i get a loan to get on the right track and pay all my debts?
3,why are fat people so much fun to laugh at? why are fat people so much fun to laugh at?
2,does anyone have a spare hard disk they'd be willing to donate to me? i have various computer components that may be worth a trade.
3,is it worth it to learn how to play guitar? why is it?&#xa;&#xa;why isnt it?&#xa;&#xa;what kind of guitar should i start on?
1,how can i make free - full free- international calls ( from and to countries out of usa)?
1,perfectnobody
1,does cancelling store credit cards help or hurt your credit score?
6,how do i treat a runny nose and non stop caugh?
4,what should i get my boyfriend for christmas? i need lots of ideas!
3,what floats besides wood (ala monty python)?
1,tea or coffee?
3,what is the director of the film dark days doing now?
1,how can i find an old friend for free? without having to serch threw a big list.
2,why does my cpu misinterpret my 256 mb sdram pc133 as only 128mb? i had 256mb pc133 ram and added a 128mb pc133 ram and now the computer recognizes only half of the first stick but recognizes the 128 from the second stick for the same 256mb that i first started with.
1,what is a 'tuffet'?  (you know
1,are boredom and anxiety related
1,i am trying to find out the age of my amercian made silver plated pitcher...any website ideas?
6,has anyone had lower back surgery on first 4 disc? what was your outcome? how much pain do you still have?
6,how does drinking a lot of water help someone on a diet?
5,which is the best day school in dehradun
1,who likes the movie the notebook?
2,how can i get rid of www.coolsearch.com keeps coming up in every scan i have done.?
1,does anyone know about escun.com
1,are all snow flakes really different?
2,what online email sites (yahoo
1,do wishes come true?
5,i want to learning about japanese grammar. so anyone help me?
2,how do you intergrate ssl with a web based site?
4,my ex and i date but haven't been official in 9 years. how do i tell him that i still luv him and want more? we've been knowing each other for 15 years
3,where can i buy the fox documentary from 2001 entitled: conspiracy theory: did we land on the moon?
2,what is the best free online institute which teach me about computer hardware and software?
2,where can i print panoramic digital photos? i have a bunch of digital panoramic photos i want to print onto photo paper
5,is there any online forms available for 11th class indian science students to study abroad?
1,what is the last day to get christmas cards in the mail? i'm not done with my christmas cards yet and i am wondering what the last day to get them in the mail to ensure they will be delivered ontime.
6,does anybody know a good leg exercise? ( i have bad knees sooo...)? i have bad knees so whenever i do lunges knees crack suggestions?
2,how i can share my files with particular computer? i have four computers on my lan through windowsxp. say computer a
1,what is the minimum score needed to get a first-time home-owners mortgage.? what is the maximum income to qualify for first time home-buying grants ?
4,how can you tell if a girl is interested in you?
1,why is yahoo so cool ha can abyone awnser that!!!!!!!?
2,can anyone beat google in search ( let us look at 2 years ahead)?
7,how long is a piece of string?
3,who killed laura palmer?
1,how much oil is left on earth? where? serious answers please!!!
2,how can i get a static ip adddress when my isp assigns me a dynamic address? so i can host my own web site.?
3,once a song is in the public domain
2,plz suggest me any good site related to oracle? i want to know 'bout rollup operations
3,2 more riddles? 1) what can run but never walks
2,how is the best website to learn computer programming?
5,college applications question? i applied to a college early decision
4,how do you tell someone you're engaged to that you're not in love with them anymore.?
5,banned weapons during world war 1? what were they??
4,if a guy drinks a 5th or a pint of hard alcohol a night is he hurting himself and is he an alcoholic?? he says he does it cause hes bored and theres nothing else to do.i say that its not healthy to his liver and he has a who cares kind of additude towards it.im really worried that this behavior is not good. hes not a mean drunk but i just dont understand why he feels the need to drink every single night. i just want him to find other ways to relax or to spend his money. thanks
4,where could someone find an affordable engagement ring? like where could they go online to look for one one
1,what do you like to do on weekends?
2,i'm in the market for a new laptop... should i go with a powerbook or a vaio fj series?
7,how many working satellites are in orbit right now.?
3,what is your favorite era in music? mine is the 80s
1,what is ottoman empire?
